Sample	Read_count	Covered_bases
SRR23971556	0	0
SRR23971443	0	0
SRR23971482	0	0
SRR23971510	148	12311
SRR23971457	0	0
SRR23971583	137	12386
SRR23971591	263085	29784
SRR23971555	0	0
SRR23971561	0	0
SRR23971562	5	137
SRR23971544	0	0
SRR23971506	26	3067
SRR23971559	0	0
SRR23971472	0	0
SRR23971412	0	0
SRR23971463	0	0
SRR23971486	0	0
SRR23971449	1	43
SRR23971444	0	0
SRR23971565	0	0
SRR23971497	0	0
SRR23971521	0	0
SRR23971431	0	0
SRR23971567	55	805
SRR23971529	0	0
SRR23971485	0	0
SRR23971526	0	0
SRR23971519	0	0
SRR23971557	0	0
SRR23971566	0	0
SRR23971462	0	0
SRR23971429	0	0
SRR23971579	3235	2302
SRR23971548	0	0
SRR23971558	0	0
SRR23971495	0	0
SRR23971518	0	0
SRR23971576	28	3785
SRR23971473	510287	29789
SRR23971479	0	0
SRR23971514	2	279
SRR23971483	0	0
SRR23971428	0	0
SRR23971577	0	0
SRR23971494	0	0
SRR23971470	0	0
SRR23971475	0	0
SRR23971425	0	0
SRR23971433	0	0
SRR23971442	0	0
SRR23971578	35	3770
SRR23971511	0	0
SRR23971491	0	0
SRR23971552	0	0
SRR23971478	0	0
SRR23971523	0	0
SRR23971503	2	186
SRR23971496	0	0
SRR23971585	0	0
SRR23971420	0	0
SRR23971465	0	0
SRR23971446	0	0
SRR23971532	0	0
SRR23971471	0	0
SRR23971445	0	0
SRR23971507	22	2101
SRR23971464	0	0
SRR23971569	8	1156
SRR23971441	0	0
SRR23971571	2	112
SRR23971553	0	0
SRR23971489	0	0
SRR23971538	0	0
SRR23971539	0	0
SRR23971410	0	0
SRR23971520	0	0
SRR23971452	0	0
SRR23971580	197351	29683
SRR23971537	0	0
SRR23971573	689	25994
SRR23971418	0	0
SRR23971572	183	11672
SRR23971535	0	0
SRR23971575	5	830
SRR23971421	0	0
SRR23971481	0	0
SRR23971437	0	0
SRR23971469	0	0
SRR23971455	0	0
SRR23971568	0	0
SRR23971480	0	0
SRR23971515	3	343
SRR23971493	0	0
SRR23971502	28	1123
SRR23971590	0	0
SRR23971527	0	0
SRR23971541	0	0
SRR23971501	0	0
SRR23971530	0	0
SRR23971592	0	0
SRR23971517	13	1328
SRR23971474	0	0
SRR23971466	0	0
SRR23971413	0	0
SRR23971525	0	0
SRR23971432	0	0
SRR23971459	0	0
SRR23971484	2121910	29641
SRR23971509	79	7951
SRR23971531	0	0
SRR23971448	5	215
SRR23971533	10197098	29516
SRR23971587	0	0
SRR23971436	0	0
SRR23971536	0	0
SRR23971499	0	0
SRR23971476	0	0
SRR23971545	0	0
SRR23971411	0	0
SRR23971574	69	5550
SRR23971563	0	0
SRR23971589	0	0
SRR23971570	10	1538
SRR23971417	0	0
SRR23971439	0	0
SRR23971549	0	0
SRR23971460	0	0
SRR23971492	0	0
SRR23971593	0	0
SRR23971524	0	0
SRR23971540	0	0
SRR23971430	0	0
SRR23971487	0	0
SRR23971414	0	0
SRR23971543	0	0
SRR23971516	0	0
SRR23971551	0	0
SRR23971447	0	0
SRR23971512	24	2629
SRR23971581	103	6602
SRR23971505	102	6594
SRR23971426	0	0
SRR23971508	14	1698
SRR23971588	0	0
SRR23971440	0	0
SRR23971560	0	0
SRR23971415	0	0
SRR23971498	0	0
SRR23971500	0	0
SRR23971554	0	0
SRR23971435	0	0
SRR23971513	0	0
SRR23971534	0	0
SRR23971453	2	86
SRR23971424	0	0
SRR23971477	0	0
SRR23971586	0	0
SRR23971438	0	0
SRR23971422	0	0
SRR23971458	0	0
SRR23971582	46392	29680
SRR23971522	0	0
SRR23971434	0	0
SRR23971546	0	0
SRR23971504	83	3811
SRR23971528	0	0
SRR23971419	0	0
SRR23971468	0	0
SRR23971423	0	0
SRR23971584	0	0
SRR23971564	0	0
SRR23971467	0	0
SRR23971461	0	0
SRR23971416	1921583	29640
SRR23971488	0	0
SRR23971490	0	0
SRR23971550	0	0
SRR23971456	0	0
SRR23971547	0	0
SRR23971427	0	0
SRR23971451	7	301
SRR23971454	2	86
SRR23971542	0	0
SRR23971450	5	215
