Lab code	Sample ID	Sampling date	Sample location	Street	Vendor	Edge case	Stall ID	Stall ID (merged)	Sample type	Sample information	SARS-CoV-2_qPCR_result	Latitude	Longitude	Sequencing run	SARS-CoV-2_NGS_result
E77	Env_0291	01/01/2020	East	1	25-27		East|1|25-27	East|1|25-27	Environmental swab	Surface of chopping board	Negative	30.619438	114.258026	None	Negative
E75	Env_0289	01/01/2020	East	1			East|1|NA	East|1|NA	Environmental swab	Surface of chopping board	Negative			None	Negative
E76	Env_0290	01/01/2020	East	1			East|1|NA	East|1|NA	Environmental swab	Sewage on floor	Negative			None	Negative
E83	Env_0297	01/01/2020	East	10	15-17		East|10|15-17	East|10|15-17	Environmental swab	Surface of cart	Negative	30.620187	114.257633	None	Negative
E86	Env_0300	01/01/2020	East	10	5		East|10|5	East|10|5	Environmental swab	Inner surface of basin	Negative	30.620149	114.257473	None	Negative
E44	Env_0258	01/01/2020	East	11	6		East|11|6	East|11|6	Environmental swab	Trash cans	Negative	30.620187	114.257462	None	Negative
E45	Env_0259	01/01/2020	East	11	8		East|11|8	East|11|8	Environmental swab	Blood on the ground	Negative	30.620197	114.257494	None	Negative
E47	Env_0261	01/01/2020	East	11	8		East|11|8	East|11|8	Environmental swab	Table top	Negative	30.620197	114.257494	None	Negative
E46	Env_0260	01/01/2020	East	11	9		East|11|9	East|11|9	Environmental swab	Trash cans floor	Negative	30.620279	114.257494	None	Negative
E71	Env_0285	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Shelf for meat	Negative			None	Negative
E72	Env_0286	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Surface of cart	Negative			None	Negative
E73	Env_0287	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Table for meta selling	Negative			None	Negative
E74	Env_0288	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Surface of chopping board	Negative			None	Negative
E67	Env_0281	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Table top	Negative	30.619718	114.257892	None	Negative
E68	Env_0282	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Surface of shelf for meat selling	Negative	30.619718	114.257892	None	Negative
