Species	Common name	Class	Date	Spearman correlation (total reads)	P-value (total reads)	Spearman correlation (mapped reads)	P-value (mapped reads)	Positive samples	Read count	Category	boot_95_min	boot_mean	boot_95_max	Adjusted P-value (total reads)	Adjusted P-value (mapped reads)
Hystrix brachyura	Malayan porcupine	Mammalia	12-Jan-2020	0.4583777664982307	6.595732967428023e-05	0.4724115516241939	3.642021338781784e-05	10	5419	Observed Xiao 2021	0.0913677096081107	0.4461501008158551	0.7483256906109196	0.0012531892638113	0.0006919840543685
Marmota himalayana	Himalayan marmot	Mammalia	12-Jan-2020	0.344487943239901	0.0034975070790018	0.3455627886166246	0.0033899919910073	4	9067	Observed Xiao 2021	-0.0571068731158323	0.3367835308911772	0.7247880562973347	0.0332263172505171	0.0322049239145694
Erinaceus amurensis	Amur hedgehog	Mammalia	12-Jan-2020	0.3067638601086702	0.0097957263055227	0.2432075846157722	0.0424833529495785	27	6948	Observed Xiao 2021	0.0774795750440908	0.3047946105551937	0.5074526284355295	0.0620395999349773	0.2690612353473307
Canis lupus	dog	Mammalia	12-Jan-2020	0.2425750753047342	0.0430407720334219	0.2249453222264823	0.0611772273484884	45	20485	Other	-0.0139722905248773	0.2380358708670623	0.4345077188040707	0.2044436671587543	0.2905918299053199
Homo sapiens	human	Mammalia	12-Jan-2020	0.1397390864729695	0.248598053880739	0.0865328387235735	0.4762867443172609	52	20487	Human	-0.0942892368636339	0.1325297253345226	0.3395457710740853	0.5211630611432249	0.6032965428018638
Vulpes vulpes	red fox	Mammalia	12-Jan-2020	-0.1243499947870151	0.3050607082300625	-0.1243499947870151	0.3050607082300625	10	525	Observed Xiao 2021	-0.1854504793219647	-0.1215051460848609	-0.0586252341760906	0.5211630611432249	0.6032965428018638
Myocastor coypus	nutria	Mammalia	12-Jan-2020	-0.1017450339062202	0.4019686300738904	-0.1017450339062202	0.4019686300738904	7	548	Observed Xiao 2021	-0.1646031195010869	-0.0990330400367549	-0.0489331916062864	0.5211630611432249	0.6032965428018638
Muntiacus reevesi	Reeves' muntjac	Mammalia	12-Jan-2020	0.1544131701275872	0.2018416941950927	0.1378713231301638	0.2550412085734926	20	1326	Observed Xiao 2021	-0.1220387121173267	0.1473112745981108	0.3976217670275736	0.5211630611432249	0.6032965428018638
Vulpes lagopus	Arctic fox	Mammalia	12-Jan-2020	-0.1095776180743873	0.3665216924799036	-0.1095776180743873	0.3665216924799036	8	357	Observed Xiao 2021	-0.1650783193618852	-0.1052794919719224	-0.0474850939655071	0.5211630611432249	0.6032965428018638
Felis catus	domestic cat	Mammalia	12-Jan-2020	-0.1314008639635208	0.278234880882895	-0.1314008639635208	0.278234880882895	11	2992	Other	-0.2017271096479124	-0.12797616693338	-0.0648126334096224	0.5211630611432249	0.6032965428018638
Rhizomys pruinosus	hoary bamboo rat	Mammalia	12-Jan-2020	0.0997211160692448	0.4114445219551775	0.0571616993509505	0.6383389357310818	47	9995	Observed Xiao 2021	-0.1442975188389194	0.0930612307661559	0.3227561478836142	0.5211630611432249	0.6738022099383641
Ovis orientalis	sheep	Mammalia	12-Jan-2020	0.1373167470164239	0.2569759728624649	0.1124017780051589	0.3542235226260437	11	247	Other	-0.1243731370227692	0.1271183257921257	0.4229596918206653	0.5211630611432249	0.6032965428018638
Sus scrofa	wild boar	Mammalia	12-Jan-2020	-0.1229802281457907	0.3104604804171777	-0.0919014020260144	0.4492529767021714	22	7138	Observed Xiao 2021	-0.2538284693796446	-0.1225624368266155	0.0524284662175539	0.5211630611432249	0.6032965428018638
Oryctolagus cuniculus	rabbit	Mammalia	12-Jan-2020	0.1491057729551962	0.2179690728288395	0.1301620843571533	0.2828305092383942	38	18029	Other	-0.0863023871972143	0.1406152905784228	0.3375489718551878	0.5211630611432249	0.6032965428018638
Paguma larvata	masked palm civet	Mammalia	12-Jan-2020	0.1093497371715405	0.3675252488939343	0.1093497371715405	0.3675252488939343	5	498	Observed Xiao 2021	-0.0993750402279412	0.1126747301613401	0.4672504694053744	0.5211630611432249	0.6032965428018638
