Sequencing run	Lab code	Sample type	Library name	Sample category	Stall ID	Read pairs after trimming	Total reads before trimming	Average Read Length	Library strategy	Library source
SRR23971543	1-29-23	market_metagenome	Env_0701	market_east_late	East|11|9	25943406	507523380	200	RNA-Seq	METAGENOMIC
SRR23971586	1-29-4	market_metagenome	Env_0682	market_east_drain	East|4|5-7-9	88729366	99509867	200	RNA-Seq	METAGENOMIC
SRR23971455	1-29-8	market_metagenome	Env_0686	market_east_drain	East|5|11	3830937	179515416	200	RNA-Seq	METAGENOMIC
SRR23971576	E61	market_metagenome	Env_0275	market_east_Jan1	East|6|1-3	132859495	136549145	200	RNA-Seq	METAGENOMIC
SRR23971575	E48	market_metagenome	Env_0262	market_east_Jan1	East|9|22	161070549	163631660	200	RNA-Seq	METAGENOMIC
SRR23971435	1-29-19	east_drain	Env_0697	market_east_drain	East|9|35	14706882	521392260	200	RNA-Seq	METAGENOMIC
SRR23971441	E-A-7-1	other_metagenome	Env_0858	market_east_late	East|Accessory Street|7	141626834	142093257	200	RNA-Seq	METAGENOMIC
SRR23971492	EWS-2#-2	sewage_metagenome	Env_0813	market_sewage_east	East|NA|NA	225917807	274010262	50	RNA-Seq	METAGENOMIC
SRR23971493	EWS-3#-2	sewage_metagenome	Env_0815	market_sewage_east	East|NA|NA	149316907	149515358	200	RNA-Seq	METAGENOMIC
SRR23971553	WS-3-1	sewage_metagenome	Env_0749	market_sewage_east	East|NA|NA	52421134	62804120	200	RNA-Seq	METAGENOMIC
SRR23971554	WS-4-1	sewage_metagenome	Env_0751	market_sewage_east	East|NA|NA	47105712	61565583	200	RNA-Seq	METAGENOMIC
SRR23971556	EWS-3#-2	sewage_metagenome	Env_0815	single_end_duplicate	East|NA|NA	68506541	105847775	50	RNA-Seq	METAGENOMIC
SRR23971590	WS-4-2	sewage_metagenome	Env_0752	market_sewage_east	East|NA|NA	132530758	132785290	200	RNA-Seq	METAGENOMIC
SRR23971436	HXJC4-1-2	not_market	Env_0801	non_market_sewage		222254307	336670514	200	RNA-Seq	METAGENOMIC
SRR23971460	CSSQ-1-3	not_market	Env_0790	non_market_sewage		173669114	416661746	200	RNA-Seq	METAGENOMIC
SRR23971513	HXJC4-1-3	not_market	Env_0802	non_market_sewage		212238798	387683075	200	RNA-Seq	METAGENOMIC
