Lab code	Sequencing run	SARS2 paired read count	SARS2 covered bases	Sample type	Sample category	Library name	Stall ID
A20	SRR23971533	10197098	29516	sars2_amplicon	market_west_Jan1	Env_0020	West|7|15-17
B5	SRR23971484	2121910	29641	sars2_amplicon	market_west_Jan1	Env_0126	West|5|6-8
F54	SRR23971416	1921583	29640	sars2_amplicon	market_west_Jan1	Env_0354	West|2|14
F13	SRR23971473	510287	29789	sars2_amplicon	market_west_Jan1	Env_0313	West|11|15
F13	SRR23971591	263085	29784	sars2_amplicon	market_west_Jan1	Env_0313	West|11|15
F13	SRR23971580	197351	29683	market_metagenome	market_west_Jan1	Env_0313	West|11|15
F54	SRR23971582	46392	29680	market_metagenome	market_west_Jan1	Env_0354	West|2|14
F100	SRR23971579	3235	2302	market_metagenome	market_west_Jan1	Env_0400	West|4|X4-X6
B5	SRR23971573	689	25994	market_metagenome	market_west_Jan1	Env_0126	West|5|6-8
B17	SRR23971572	183	11672	market_metagenome	market_west_Jan1	Env_0138	West|15|44
A61	SRR23971510	148	12311	market_metagenome	market_west_Jan1	Env_0061	West|7|20-22-24
F98	SRR23971583	137	12386	market_metagenome	market_west_Jan1	Env_0398	West|4|X4-X6
F46	SRR23971581	103	6602	market_metagenome	market_west_Jan1	Env_0346	West|2|24
A18	SRR23971505	102	6594	market_metagenome	market_west_Jan1	Env_0018	West|7|15-17
A15	SRR23971504	83	3811	market_metagenome	market_west_Jan1	Env_0015	West|4|26
A55	SRR23971509	79	7951	market_metagenome	market_west_Jan1	Env_0055	West|7|25
D32	SRR23971574	69	5550	market_metagenome	market_west_Jan1	Env_0213	West|15|15
A87	SRR23971567	55	805	market_metagenome	market_west_Jan1	Env_0087	West|4|28
E7	SRR23971578	35	3770	market_metagenome	market_west_Jan1	Env_0221	West|2|5
A101	SRR23971502	28	1123	market_metagenome	market_west_Jan1	Env_0101	West|4|19
E61	SRR23971576	28	3785	market_metagenome	market_east_Jan1	Env_0275	East|6|1-3
A2	SRR23971506	26	3067	market_metagenome	market_west_Jan1	Env_0002	West|7|15-17
A63	SRR23971512	24	2629	market_metagenome	market_west_Jan1	Env_0063	West|7|16-18
A20	SRR23971507	22	2101	market_metagenome	market_west_Jan1	Env_0020	West|7|15-17
A33	SRR23971508	14	1698	market_metagenome	market_west_Jan1	Env_0033	West|7|NA
RLC-3	SRR23971517	13	1328	other_metagenome	warehouse	Env_0868	Warehouse|8|25
A90	SRR23971570	10	1538	market_metagenome	market_west_Jan1	Env_0090	West|4|26
A88	SRR23971569	8	1156	market_metagenome	market_west_Jan1	Env_0088	West|4|28
Q68	SRR23971451	7	301	market_metagenome	market_629_Jan12	Env_0583	West|6|29-31-33
E48	SRR23971575	5	830	market_metagenome	market_east_Jan1	Env_0262	East|9|22
Q64	SRR23971450	5	215	market_metagenome	market_629_Jan12	Env_0579	West|6|29-31-33
CSSQ-1-1	SRR23971562	5	137	not_market	non_market_sewage	Env_0788	
Q37	SRR23971448	5	215	market_metagenome	market_825	Env_0552	West|8|25
SJ-D	SRR23971515	3	343	other_metagenome	warehouse	Env_0862	Warehouse|8|25
Q69	SRR23971453	2	86	market_metagenome	market_629_Jan12	Env_0584	West|6|29-31-33
A96	SRR23971571	2	112	market_metagenome	market_west_Jan1	Env_0096	West|4|24
Q70	SRR23971454	2	86	market_metagenome	market_629_Jan12	Env_0585	West|6|29-31-33
A14	SRR23971503	2	186	market_metagenome	market_west_Jan1	Env_0014	West|4|26
WWS-2#-2	SRR23971514	2	279	sewage_metagenome	market_sewage_west	Env_0820	West|NA|NA
Q61	SRR23971449	1	43	market_metagenome	market_629_Jan12	Env_0576	West|6|29-31-33
HJ200021-20200112-1	SRR23971540	0	0	market_metagenome	market_stall_wildlife	Env_0536	West|9|35-37
06-29-abv1	SRR23971430	0	0	market_metagenome	market_629_late	Env_0620	West|6|29
1-29-23	SRR23971543	0	0	market_metagenome	market_east_late	Env_0701	East|11|9
HJ200006-20200112-1	SRR23971524	0	0	market_metagenome	market_stall_wildlife	Env_0521	West|9|34-36
HJ200013-20200112-1	SRR23971531	0	0	market_metagenome	market_stall_wildlife	Env_0528	West|9|38
HJ200048-20200112-1	SRR23971487	0	0	market_metagenome	market_stall_wildlife	Env_0563	West|8|36-38
WS-2-3	SRR23971459	0	0	sewage_metagenome	market_sewage_west	Env_0748	West|NA|NA
8-25-D	SRR23971587	0	0	market_metagenome	market_825_late	Env_0717	West|8|25
EWS-2#-2	SRR23971492	0	0	sewage_metagenome	market_sewage_east	Env_0813	East|NA|NA
1-27-11	SRR23971593	0	0	market_metagenome	single_end_duplicate	Env_0642	West|3|13
CSSQ-1-2	SRR23971563	0	0	not_market	non_market_sewage	Env_0789	
CSSQ-1-3	SRR23971460	0	0	not_market	non_market_sewage	Env_0790	
8-25-BX	SRR23971549	0	0	market_metagenome	market_825_late	Env_0714	West|8|25
C17_2	SRR23971439	0	0	market_metagenome	market_west_late	Env_0847	West|6|34
HXJC4-1-2	SRR23971436	0	0	not_market	non_market_sewage	Env_0801	
HJ200056-20200112-1	SRR23971417	0	0	market_metagenome	market_stall_wildlife	Env_0571	West|8|37
