Species	Common name	Class	Date	Total_correlation	Total_pvalue	Mapped_correlation	Mapped_pvalue	Number_samples	Number_reads	Category	Raw_correlation	Raw_pvalue	dates_raw	boot_min	boot_mean	boot_max
Gallus gallus	chicken	Aves	12-Jan-2020	0.17474474521055897	0.14793804201850339	0.037594630621826115	0.757332936268315	64	335262	Other	0.19988974001744475	0.09710071611429291	[datetime.datetime(2020, 1, 12, 0, 0)]	0.0618285851447869	0.12237543814356926	0.17917002768508766
Anas poecilorhyncha	Indian spot-billed duck	Aves	12-Jan-2020	0.004763325016521153	0.9687823837023408	-0.012124827314781117	0.9206454961078242	60	56541	Other	0.00743468222464855	0.9512924466011541	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.09657071434842418	0.048158828126134104	0.17083834646363938
Columba livia	rock pigeon	Aves	12-Jan-2020	-0.11398798913842009	0.3474293229126484	-0.10920299484162521	0.36817236706384615	54	22383	Other	-0.06743589458271239	0.5791120227458166	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.27247921314577805	-0.12767866704427994	0.02938073701564966
Phasianus colchicus	Ring-necked pheasant	Aves	12-Jan-2020	-0.0026934887295114516	0.9823445655062937	0.008954030100808339	0.9413546521135857	51	18853	Observed Xiao 2021	0.03505466641845821	0.7732732011684338	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.1577346077208662	0.00316551216794179	0.15741615223833053
Ptyas mucosa	Dhaman	Lepidosauria	12-Jan-2020	0.16871601204582984	0.16265598660976976	0.14495435147992106	0.23119983256483992	27	12304	Observed Xiao 2021	0.18640932864795234	0.12232019485597447	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.0668617054703441	0.19133154704220395	0.3721170796311769
Streptopelia orientalis	eastern turtle dove	Aves	12-Jan-2020	-0.06434369591897539	0.5966710686432696	-0.06813524392820322	0.5751739173626061	40	11404	Other	-0.05509834051629995	0.6505272629939249	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.17585102259673588	-0.08996102303797329	-0.0027972549814107538
Coturnix japonica	Japanese quail	Aves	12-Jan-2020	-0.18358344828270953	0.12819090551219645	-0.18358344828270953	0.12819090551219645	19	11598	Other	-0.1835996925593349	0.12815655710340249	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.22836836383724324	-0.1993296017563838	-0.1657266294365146
Siniperca knerii	big-eye mandarin fish	Actinopteri	12-Jan-2020	-0.07523917637064922	0.5358900016170549	-0.07523917637064922	0.5358900016170549	4	80	Aquatic animals	-0.07524476060462514	0.5358596491467957	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.08756187947158263	-0.0734598880380137	-0.059579289470085194
Gallinula chloropus	common moorhen	Aves	12-Jan-2020	-0.08887660560922848	0.464378670004	-0.1343850849836055	0.26736904996213606	26	11517	Other	-0.09077539036144697	0.45485149740494535	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.27461989822045424	-0.1098122950096595	-0.018891858335308955
Blattella germanica	German cockroach	Insecta	12-Jan-2020	0.05928918256293351	0.6258711354289623	0.05928918256293351	0.6258711354289623	9	63102	Other	0.05687723008021545	0.6400137309705006	[datetime.datetime(2020, 1, 12, 0, 0)]	-0.10477449487531487	0.03943052199835752	0.16532602869952012
