#File	../fastq/SRR23971458_1.fastq.gz	../fastq/SRR23971458_2.fastq.gz
#Total	355281840
#Matched	35487075	9.98843%
#Name	Reads	ReadsPct
Ad153_5T_1-index_4	16667912	4.69146%
Ad153_5T_1-index_1	8961358	2.52232%
Ad153Ω_Bottom_2	6953377	1.95714%
Barcode_SE_sequencing_primer	1344373	0.37840%
Read_1_sequencing_primer	422993	0.11906%
Ad153_Splint_oligo	279898	0.07878%
Ad153_5T_1-index_15	145988	0.04109%
Ad153_5T_1-index_35	95175	0.02679%
Barcode_PE_sequencing_primer	87918	0.02475%
Ad153_5T_1-index_34	79229	0.02230%
Ad153_5T_1-index_7	61522	0.01732%
Ad153_5T_1-index_29	58598	0.01649%
Ad153_5T_1-index_22	26062	0.00734%
Ad153_5T_1-index_8	22963	0.00646%
Ad153_5T_1-index_65	20107	0.00566%
Ad153_5T_1-index_10	18310	0.00515%
Ad153_5T_1-index_16	16683	0.00470%
Ad153_5T_1-index_23	15979	0.00450%
Ad153_5T_1-index_39	13353	0.00376%
Ad153_5T_1-index_11	13113	0.00369%
Ad153_5T_1-index_12	13085	0.00368%
Ad153_5T_1-index_40	11270	0.00317%
Ad153_5T_1-index_28	10920	0.00307%
Ad153_5T_1-index_30	9252	0.00260%
Ad153_5T_1-index_58	9004	0.00253%
Ad153_5T_1-index_97	8688	0.00245%
Ad153_5T_1-index_32	8357	0.00235%
Ad153_5T_1-index_49	7924	0.00223%
Ad153_5T_1-index_37	7820	0.00220%
Ad153_5T_1-index_36	7644	0.00215%
Ad153_5T_1-index_26	7221	0.00203%
Ad153_5T_1-index_14	6628	0.00187%
Ad153_5T_1-index_25	5592	0.00157%
Ad153_5T_1-index_31	5575	0.00157%
Ad153_5T_1-index_48	4241	0.00119%
Ad153_5T_1-index_2	4733	0.00133%
Ad153_5T_1-index_33	4199	0.00118%
Ad153_5T_1-index_20	3488	0.00098%
Ad153_5T_1-index_18	2968	0.00084%
Ad153_5T_1-index_54	2747	0.00077%
Ad153_5T_1-index_17	2880	0.00081%
Ad153_5T_1-index_38	2291	0.00064%
Ad153_5T_1-index_6	2154	0.00061%
Ad153_5T_1-index_46	2053	0.00058%
Ad153_5T_1-index_86	2007	0.00056%
Ad153_5T_1-index_106	1892	0.00053%
Ad153_5T_1-index_3	1875	0.00053%
Ad153_5T_1-index_110	1463	0.00041%
Ad153_5T_1-index_63	1429	0.00040%
Ad153_5T_1-index_104	1275	0.00036%
Ad153_5T_1-index_9	1185	0.00033%
Ad153_5T_1-index_70	1106	0.00031%
Ad153_5T_1-index_5	965	0.00027%
TruSeq_Universal_Adapter	981	0.00028%
Ad153_5T_1-index_24	789	0.00022%
Ad153_5T_1-index_121	704	0.00020%
Ad153_5T_1-index_71	675	0.00019%
