#File	../fastq/SRR23971541_1.fastq.gz
#Total	135591538
#Matched	15716343	11.59095%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	14862180	10.96099%
Ad153_5T_1-index_2	314266	0.23177%
Ad153_5T_1-index_6	290076	0.21393%
Barcode_SE_sequencing_primer	236885	0.17470%
Ad153Ω_Bottom_2	5943	0.00438%
Ad153_5T_1-index_60	555	0.00041%
Ad153_5T_1-index_10	497	0.00037%
Ad153_5T_1-index_4	445	0.00033%
Ad153_5T_1-index_56	305	0.00022%
Ad153_5T_1-index_16	252	0.00019%
Ad153_5T_1-index_5	222	0.00016%
Ad153_5T_1-index_97	183	0.00013%
I5_Nextera_Transposase_1	160	0.00012%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]503	148	0.00011%
TruSeq_Adapter_Index_12	146	0.00011%
Ad153_5T_1-index_48	133	0.00010%
Ad153_5T_1-index_115	128	0.00009%
TruSeq_Universal_Adapter	124	0.00009%
Ad153_5T_1-index_40	87	0.00006%
Ad153_5T_1-index_11	75	0.00006%
Ad153_5T_1-index_123	74	0.00005%
Ad153_5T_1-index_20	74	0.00005%
Ad153_5T_1-index_105	72	0.00005%
Ad153_5T_1-index_3	68	0.00005%
Ad153_5T_1-index_50	66	0.00005%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]508	66	0.00005%
Ad153_5T_1-index_9	65	0.00005%
Ad153_5T_1-index_19	64	0.00005%
Ad153_5T_1-index_118	62	0.00005%
Ad153_5T_1-index_31	60	0.00004%
Ad153_5T_1-index_96	55	0.00004%
Ad153_5T_1-index_25	49	0.00004%
Ad153_5T_1-index_113	48	0.00004%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	48	0.00004%
Ad153_5T_1-index_17	46	0.00003%
Ad153_5T_1-index_52	46	0.00003%
Ad153_5T_1-index_92	45	0.00003%
Ad153_5T_1-index_54	43	0.00003%
Ad153_5T_1-index_122	41	0.00003%
Ad153_5T_1-index_90	41	0.00003%
Ad153_5T_1-index_88	40	0.00003%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	40	0.00003%
Ad153_5T_1-index_39	39	0.00003%
Ad153_5T_1-index_32	38	0.00003%
Ad153_Splint_oligo	38	0.00003%
Ad153_5T_1-index_35	35	0.00003%
Ad153_5T_1-index_41	35	0.00003%
RNA_PCR_Primer_Index_44_(RPI44)	35	0.00003%
Ad153_5T_1-index_38	35	0.00003%
Ad153_5T_1-index_14	34	0.00003%
Ad153_5T_1-index_29	34	0.00003%
Ad153_5T_1-index_27	33	0.00002%
Ad153_5T_1-index_22	32	0.00002%
Ad153_5T_1-index_59	32	0.00002%
Ad153_5T_1-index_116	31	0.00002%
Ad153_5T_1-index_71	30	0.00002%
Ad153_5T_1-index_83	30	0.00002%
Ad153_5T_1-index_94	30	0.00002%
Ad153_5T_1-index_13	28	0.00002%
Ad153_5T_1-index_104	27	0.00002%
Reverse_adapter	27	0.00002%
TruSeq_Adapter_Index_23	27	0.00002%
Ad153_5T_1-index_117	26	0.00002%
Ad153_5T_1-index_57	26	0.00002%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	25	0.00002%
TruSeq_Adapter_Index_6	25	0.00002%
Ad153_5T_1-index_23	24	0.00002%
Ad153_5T_1-index_34	24	0.00002%
Ad153_5T_1-index_37	23	0.00002%
Ad153_5T_1-index_64	23	0.00002%
Ad153_5T_1-index_69	23	0.00002%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	23	0.00002%
Ad153_5T_1-index_109	22	0.00002%
Ad153_5T_1-index_45	22	0.00002%
RNA_PCR_Primer_Index_32_(RPI32)	22	0.00002%
Ad153_5T_1-index_112	21	0.00002%
Ad153_5T_1-index_26	21	0.00002%
Ad153_5T_1-index_67	21	0.00002%
Ad153_5T_1-index_74	21	0.00002%
I7_Primer_Nextera_XT_Index_Kit_v2_N729	21	0.00002%
pcr_dimer	21	0.00002%
Ad153_5T_1-index_108	20	0.00001%
Ad153_5T_1-index_61	20	0.00001%
Ad153_5T_1-index_84	20	0.00001%
I5_Adapter_Nextera	20	0.00001%
Ad153_5T_1-index_15	19	0.00001%
Ad153_5T_1-index_18	19	0.00001%
Ad153_5T_1-index_30	19	0.00001%
Ad153_5T_1-index_58	19	0.00001%
Ad153_5T_1-index_65	19	0.00001%
I7_Primer_Nextera_XT_Index_Kit_v2_N723	19	0.00001%
Ad153_5T_1-index_114	18	0.00001%
Ad153_5T_1-index_121	18	0.00001%
Ad153_5T_1-index_49	18	0.00001%
Ad153_5T_1-index_72	18	0.00001%
