#File	../fastq/SRR23971552_1.fastq.gz	../fastq/SRR23971552_2.fastq.gz
#Total	1643081696
#Matched	2457371261	149.55868%
#Name	Reads	ReadsPct
Ad153_5T_1-index_1	773680040	47.08713%
Ad153_5T_1-index_2	553003364	33.65647%
Ad153Ω_Bottom_2	602880774	36.69208%
Barcode_SE_sequencing_primer	492208856	29.95644%
Read_1_sequencing_primer	12506633	0.76117%
Ad153_Splint_oligo	5452833	0.33187%
Ad153_5T_1-index_42	3703347	0.22539%
Barcode_PE_sequencing_primer	2208122	0.13439%
Ad153_5T_1-index_31	1304874	0.07942%
Ad153_5T_1-index_25	1294620	0.07879%
Ad153_5T_1-index_40	1242411	0.07561%
Ad153_5T_1-index_38	1006001	0.06123%
Ad153_5T_1-index_59	897068	0.05460%
Ad153_5T_1-index_29	891131	0.05424%
Ad153_5T_1-index_16	379776	0.02311%
Ad153_5T_1-index_35	363747	0.02214%
Ad153_5T_1-index_36	317338	0.01931%
Ad153_5T_1-index_67	298832	0.01819%
Ad153_5T_1-index_43	247637	0.01507%
Ad153_5T_1-index_17	199832	0.01216%
Ad153_5T_1-index_6	173623	0.01057%
Ad153_5T_1-index_19	167093	0.01017%
Ad153_5T_1-index_37	158611	0.00965%
Ad153_5T_1-index_8	159154	0.00969%
Ad153_5T_1-index_33	157527	0.00959%
Ad153_5T_1-index_34	151045	0.00919%
Ad153_5T_1-index_20	138541	0.00843%
Ad153_5T_1-index_98	114995	0.00700%
Ad153_5T_1-index_30	111542	0.00679%
Ad153_5T_1-index_39	104739	0.00637%
Ad153_5T_1-index_92	78568	0.00478%
Ad153_5T_1-index_21	92992	0.00566%
Ad153_5T_1-index_124	72580	0.00442%
Ad153_5T_1-index_7	71188	0.00433%
Ad153_5T_1-index_15	70931	0.00432%
Ad153_5T_1-index_50	69680	0.00424%
Ad153_5T_1-index_18	68500	0.00417%
Ad153_5T_1-index_3	82207	0.00500%
Ad153_5T_1-index_45	66648	0.00406%
Ad153_5T_1-index_72	65798	0.00400%
Ad153_5T_1-index_14	61900	0.00377%
Ad153_5T_1-index_10	61563	0.00375%
Ad153_5T_1-index_4	67872	0.00413%
Ad153_5T_1-index_55	54906	0.00334%
Ad153_5T_1-index_88	54079	0.00329%
Ad153_5T_1-index_23	49975	0.00304%
Ad153_5T_1-index_68	40174	0.00245%
Ad153_5T_1-index_61	42287	0.00257%
Ad153_5T_1-index_22	36924	0.00225%
Ad153_5T_1-index_32	32065	0.00195%
Ad153_5T_1-index_79	26339	0.00160%
Ad153_5T_1-index_122	25946	0.00158%
Ad153_5T_1-index_94	25790	0.00157%
Ad153_5T_1-index_71	28499	0.00173%
Ad153_5T_1-index_110	24909	0.00152%
Ad153_5T_1-index_113	25091	0.00153%
Ad153_5T_1-index_78	22517	0.00137%
Ad153_5T_1-index_5	24636	0.00150%
Ad153_5T_1-index_48	20492	0.00125%
Ad153_5T_1-index_93	20161	0.00123%
Ad153_5T_1-index_109	17844	0.00109%
Ad153_5T_1-index_96	17506	0.00107%
Ad153_5T_1-index_26	16866	0.00103%
Ad153_5T_1-index_56	16820	0.00102%
Ad153_5T_1-index_24	15754	0.00096%
Ad153_5T_1-index_84	14348	0.00087%
Ad153_5T_1-index_27	13358	0.00081%
Ad153_5T_1-index_82	12785	0.00078%
Ad153_5T_1-index_65	14391	0.00088%
Ad153_5T_1-index_120	11706	0.00071%
Ad153_5T_1-index_51	11197	0.00068%
Ad153_5T_1-index_13	16894	0.00103%
Ad153_5T_1-index_41	10289	0.00063%
Ad153_5T_1-index_81	10063	0.00061%
Ad153_5T_1-index_63	9830	0.00060%
Ad153_5T_1-index_97	9637	0.00059%
Ad153_5T_1-index_11	10309	0.00063%
Ad153_5T_1-index_12	9414	0.00057%
Ad153_5T_1-index_52	7710	0.00047%
Ad153_5T_1-index_44	7044	0.00043%
Ad153_5T_1-index_60	6645	0.00040%
Ad153_5T_1-index_115	6069	0.00037%
Ad153_5T_1-index_111	5679	0.00035%
Ad153_5T_1-index_83	5492	0.00033%
Ad153_5T_1-index_102	4177	0.00025%
TruSeq_Universal_Adapter	5921	0.00036%
Ad153_5T_1-index_95	3491	0.00021%
Ad153_5T_1-index_76	3272	0.00020%
Ad153_5T_1-index_103	3243	0.00020%
Ad153_5T_1-index_28	3200	0.00019%
Ad153_5T_1-index_128	3060	0.00019%
Ad153_5T_1-index_70	2814	0.00017%
Ad153_5T_1-index_101	2797	0.00017%
Ad153_5T_1-index_62	2743	0.00017%
Ad153_5T_1-index_105	2450	0.00015%
Ad153_5T_1-index_108	2202	0.00013%
Ad153_5T_1-index_127	2181	0.00013%
Ad153_5T_1-index_91	2243	0.00014%
Ad153_5T_1-index_54	2247	0.00014%
Ad153_5T_1-index_47	2181	0.00013%
Ad153_5T_1-index_100	2110	0.00013%
Ad153_5T_1-index_74	2066	0.00013%
