Lab code	Stall_corrected	Sequencing_Run	adapter1	adapter1_percent	adapter2	adapter2_percent	adapter3	adapter3_percent	adapter4	adapter4_percent	adapter5	adapter5_percent
A18	West|7|15-17	SRR23971505	Ad153_5T_1-index_6	1.28838%	Ad153Ω_Bottom_2	1.75499%	Barcode_SE_sequencing_primer	1.68811%	Ad153_5T_1-index_22	0.60136%	Ad153_5T_1-index_1	0.27773%
HJ200015-20200112-1	West|9|38	SRR23971534	Ad153_5T_1-index_1	23.91127%	Ad153_5T_1-index_30	4.01732%	Barcode_SE_sequencing_primer	0.53942%	Ad153_5T_1-index_5	0.15194%	Ad153Ω_Bottom_2	0.03836%
HJ200055-20200112-1	West|8|37	SRR23971415	Ad153_5T_1-index_1	15.14827%	Barcode_SE_sequencing_primer	0.34147%	Ad153_5T_1-index_25	0.09317%	Ad153Ω_Bottom_2	0.07681%	Ad153_5T_1-index_4	0.00044%
629-5-L4	West|6|29	SRR23971445	Ad153_5T_1-index_13	1.08339%	Ad153Ω_Bottom_2	0.87424%	Barcode_SE_sequencing_primer	0.68634%	Ad153_5T_1-index_1	0.36176%	Ad153_5T_1-index_3	0.26655%
HJ200019-20200112-1	West|9|38	SRR23971538	Ad153_5T_1-index_1	15.62765%	Ad153_5T_1-index_3	1.08437%	Barcode_SE_sequencing_primer	0.23530%	Ad153Ω_Bottom_2	0.04453%	Ad153_5T_1-index_65	0.00061%
Q64	West|6|29-31-33	SRR23971450	Ad153_5T_1-index_1	1.34287%	Ad153Ω_Bottom_2	0.02092%	Ad153_5T_1-index_40	0.01276%	Ad153_5T_1-index_4	0.01091%	Barcode_SE_sequencing_primer	0.01233%
7-26-BX	West|7|26	SRR23971544	Ad153_5T_1-index_34	24.51957%	Ad153_5T_1-index_15	17.17628%	Ad153Ω_Bottom_2	25.08238%	Barcode_SE_sequencing_primer	17.98764%	Ad153_5T_1-index_1	10.76541%
HJ200047-20200112-1	West|8|36-38	SRR23971486	Ad153_5T_1-index_1	8.59034%	Ad153_5T_1-index_30	1.54696%	Barcode_SE_sequencing_primer	0.15537%	Ad153_5T_1-index_5	0.07427%	Ad153Ω_Bottom_2	0.02830%
		SRR23971564	Ad153_5T_1-index_11	81.57389%	Ad153Ω_Bottom_2	47.37434%	Barcode_SE_sequencing_primer	46.25752%	Ad153_5T_1-index_1	12.15142%	Ad153_Splint_oligo	1.14337%
HJ200059-20200112-1	West|8|37	SRR23971420	Ad153_5T_1-index_1	2.28529%	Ad153_5T_1-index_34	0.89398%	Barcode_SE_sequencing_primer	0.02642%	Ad153Ω_Bottom_2	0.01161%	Ad153_5T_1-index_33	0.00075%
HJ200010-20200112-1	West|9|34-36	SRR23971528	Ad153_5T_1-index_1	4.24830%	Ad153_5T_1-index_18	0.51244%	Ad153_5T_1-index_16	0.11329%	Ad153_5T_1-index_2	0.07697%	Barcode_SE_sequencing_primer	0.10352%
7-26-PSW	West|7|26	SRR23971546	Ad153_5T_1-index_35	36.74955%	Ad153_5T_1-index_16	29.28048%	Ad153Ω_Bottom_2	33.39033%	Barcode_SE_sequencing_primer	27.20260%	Ad153_5T_1-index_1	6.55308%
HJ200023-20200112-1	West|9|35-37	SRR23971542	Ad153_5T_1-index_1	58.91385%	Ad153_5T_1-index_8	1.74220%	Ad153_5T_1-index_4	0.76598%	Barcode_SE_sequencing_primer	0.87558%	Ad153Ω_Bottom_2	0.05730%
HJ200017-20200112-1	West|9|38	SRR23971536	Ad153_5T_1-index_1	12.92082%	Barcode_SE_sequencing_primer	0.29414%	Ad153Ω_Bottom_2	0.04385%	Ad153_5T_1-index_33	0.00179%	Ad153_5T_1-index_2	0.00130%
CCDC-758	West|8|25	SRR23971588	Ad153_5T_1-index_20	0.40229%	Ad153_5T_1-index_1	0.22260%	Ad153Ω_Bottom_2	0.22601%	Barcode_SE_sequencing_primer	0.20195%	Ad153_5T_1-index_43	0.00666%
HJ200039-20200112-1	West|8|25	SRR23971477	Ad153_5T_1-index_1	18.23968%	Ad153_5T_1-index_8	0.46778%	Ad153_5T_1-index_4	0.21562%	Barcode_SE_sequencing_primer	0.29010%	Ad153Ω_Bottom_2	0.02539%
F98	West|4|X4-X6	SRR23971583	Ad153_5T_1-index_25	2.36286%	Ad153Ω_Bottom_2	2.10621%	Barcode_SE_sequencing_primer	2.13492%	Ad153_5T_1-index_1	0.51861%	Ad153_5T_1-index_22	0.25395%
1-27-37	West|10|4	SRR23971585	Ad153_5T_1-index_69	30.80901%	Ad153_5T_1-index_1	26.42910%	Ad153_Splint_oligo	12.43699%	Ad153_5T_1-index_3	2.65111%	Ad153Ω_Bottom_2	2.95694%
HJ200013-20200112-1	West|9|38	SRR23971531	Ad153_5T_1-index_1	13.76681%	Ad153Ω_Bottom_2	0.55329%	Ad153_5T_1-index_2	0.21912%	Barcode_SE_sequencing_primer	0.27193%	Ad153_5T_1-index_27	0.19546%
C12_2	West|5|NA	SRR23971438	Ad153_5T_1-index_6	0.43677%	Ad153Ω_Bottom_2	0.29398%	Barcode_SE_sequencing_primer	0.26176%	Ad153_5T_1-index_1	0.05954%	Ad153_5T_1-index_2	0.02407%
EWS-3#-2	East|NA|NA	SRR23971493	Ad153Ω_Bottom_2	0.18652%	Barcode_SE_sequencing_primer	0.17136%	Ad153_5T_1-index_41	0.03979%	Ad153_5T_1-index_1	0.02015%	Ad153_5T_1-index_44	0.00754%
E61	East|6|1-3	SRR23971576	Ad153_5T_1-index_33	1.68354%	Ad153Ω_Bottom_2	1.74236%	Barcode_SE_sequencing_primer	1.72680%	Ad153_5T_1-index_11	0.15975%	Ad153_5T_1-index_8	0.14321%
