Lab code	Sample ID	Sampling date	Sample_location	Street No.	Vendor No.	edge_case	Stall_corrected	Stall_corrected_merged	Sample type	Sample information	SARS-CoV-2 qPCR result	Latitude	Longitude	Stall_corrected_latitude	Stall_corrected_longitude	Stall_merged_latitude	Stall_merged_longitude
E77	Env_0291	01/01/2020	East	1	25-27		East|1|25-27	East|1|25-27	Environmental swab	Surface of chopping board	Negative	30.619438	114.258026	30.619438	114.258026	30.619438	114.258026
E75	Env_0289	01/01/2020	East	1			East|1|NA	East|1|NA	Environmental swab	Surface of chopping board	Negative						
E76	Env_0290	01/01/2020	East	1			East|1|NA	East|1|NA	Environmental swab	Sewage on floor	Negative						
E83	Env_0297	01/01/2020	East	10	15-17		East|10|15-17	East|10|15-17	Environmental swab	Surface of cart	Negative	30.620187	114.257633	30.620187	114.257633	30.620187	114.257633
E86	Env_0300	01/01/2020	East	10	5		East|10|5	East|10|5	Environmental swab	Inner surface of basin	Negative	30.620149	114.257473	30.620149	114.257473	30.620149	114.257473
E44	Env_0258	01/01/2020	East	11	6		East|11|6	East|11|6	Environmental swab	Trash cans	Negative	30.620187	114.257462	30.620187	114.257462	30.620187	114.257462
E45	Env_0259	01/01/2020	East	11	8		East|11|8	East|11|8	Environmental swab	Blood on the ground	Negative	30.620197	114.257494	30.620197	114.257494	30.620197	114.257494
E47	Env_0261	01/01/2020	East	11	8		East|11|8	East|11|8	Environmental swab	Table top	Negative	30.620197	114.257494	30.620197	114.257494	30.620197	114.257494
E46	Env_0260	01/01/2020	East	11	9		East|11|9	East|11|9	Environmental swab	Trash cans floor	Negative	30.620279	114.257494	30.620279	114.257494	30.620279	114.257494
E71	Env_0285	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Shelf for meat	Negative						
E72	Env_0286	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Surface of cart	Negative						
E73	Env_0287	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Table for meta selling	Negative						
E74	Env_0288	01/01/2020	East	2			East|2|NA	East|2|NA	Environmental swab	Surface of chopping board	Negative						
E67	Env_0281	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Table top	Negative	30.619718	114.257892	30.619718	114.257892	30.619718	114.257892
E68	Env_0282	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Surface of shelf for meat selling	Negative	30.619718	114.257892	30.619718	114.257892	30.619718	114.257892
E69	Env_0283	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Sewage on floor	Negative	30.619718	114.257892	30.619718	114.257892	30.619718	114.257892
E70	Env_0284	01/01/2020	East	4		Can be assigned 4-24 because it is the only stall sampled in row 4 on East side.	East|4|24	East|4|24	Environmental swab	Surface of cart	Negative	30.619718	114.257892	30.619718	114.257892	30.619718	114.257892
E78	Env_0292	01/01/2020	East	4	27		East|4|27	East|4|27	Environmental swab	Surface of the door	Negative	30.619678	114.257961	30.619678	114.257961	30.619678	114.257961
E79	Env_0293	01/01/2020	East	4	27		East|4|27	East|4|27	Environmental swab	Surface of cart	Negative	30.619678	114.257961	30.619678	114.257961	30.619678	114.257961
E63	Env_0277	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Table top	Negative	30.619686	114.257623	30.619686	114.257623	30.619686	114.257623
E64	Env_0278	01/01/2020	East	5	1-3-5-7-9		East|5|1-3-5-7-9	East|5|1-3-5-7-9	Environmental swab	Water in fishbowl	Negative	30.619686	114.257623	30.619686	114.257623	30.619686	114.257623
