Common_name,Latin_name
Raccoon dog,Nyctereutes procyonoides
Amur hedgehog,Erinaceus amurensis
Siberian weasel,Mustela sibirica
Hog badger,Arctonyx albogularis
Asian badger,Meles leucurus
Chinese hare,Lepus sinensis
Pallas's squirrel,Callosciurus erythraeus
Masked palm civet,Paguma larvata
Chinese bamboo rat,Rhizomys sinensis
Malayan porcupine,Hystrix brachyura
Chinese muntjac,Muntiacus reevesi
Coypu,Myocastor coypus
Marmot,Marmota himalayana
Red fox,Vulpes vulpes
Mink,Neovison vison
Red squirrel,Sciurus vulgaris
Wild boar,Sus scrofa
Complex-toothed Flying Squirrel,Trogopterus xanthipes
