"species","kingdom","phylum","class"
"Gallus.gallus","Metazoa","Chordata","Aves"
"Anas.poecilorhyncha","Metazoa","Chordata","Aves"
"Homo.sapiens","Metazoa","Chordata","Mammalia"
"Columba.livia","Metazoa","Chordata","Aves"
"Nyctereutes.procyonoides","Metazoa","Chordata","Mammalia"
"Phasianus.colchicus","Metazoa","Chordata","Aves"
"Canis.lupus","Metazoa","Chordata","Mammalia"
"Ptyas.mucosa","Metazoa","Chordata","Lepidosauria"
"Oryctolagus.cuniculus","Metazoa","Chordata","Mammalia"
"Sus.scrofa","Metazoa","Chordata","Mammalia"
"Ovis.orientalis","Metazoa","Chordata","Mammalia"
"Rhizomys.pruinosus","Metazoa","Chordata","Mammalia"
"Ctenopharyngodon.idella","Metazoa","Chordata","Actinopteri"
"Erinaceus.amurensis","Metazoa","Chordata","Mammalia"
"Streptopelia.orientalis","Metazoa","Chordata","Aves"
"Coturnix.japonica","Metazoa","Chordata","Aves"
"Micropterus.punctulatus","Metazoa","Chordata","Actinopteri"
"Siniperca.knerii","Metazoa","Chordata","Actinopteri"
"Bos.taurus","Metazoa","Chordata","Mammalia"
"Rattus.tanezumi","Metazoa","Chordata","Mammalia"
"Tachysurus.fulvidraco","Metazoa","Chordata","Actinopteri"
"Felis.catus","Metazoa","Chordata","Mammalia"
"Gallinula.chloropus","Metazoa","Chordata","Aves"
"Blattella.germanica","Metazoa","Arthropoda","Insecta"
"Anser.albifrons","Metazoa","Chordata","Aves"
"Naja.atra","Metazoa","Chordata","Lepidosauria"
"Lepus.sinensis","Metazoa","Chordata","Mammalia"
"Pseudorasbora.parva","Metazoa","Chordata","Actinopteri"
"Ruditapes.philippinarum","Metazoa","Mollusca","Bivalvia"
"Carassius.auratus","Metazoa","Chordata","Actinopteri"
"Sinonovacula.constricta","Metazoa","Mollusca","Bivalvia"
"Lepidoglyphus.destructor","Metazoa","Arthropoda","Arachnida"
"Capra.hircus","Metazoa","Chordata","Mammalia"
"Channa.argus","Metazoa","Chordata","Actinopteri"
"Mizuhopecten.yessoensis","Metazoa","Mollusca","Bivalvia"
"Ictalurus.punctatus","Metazoa","Chordata","Actinopteri"
"Salmo.salar","Metazoa","Chordata","Actinopteri"
"Larimichthys.crocea","Metazoa","Chordata","Actinopteri"
"Muntiacus.reevesi","Metazoa","Chordata","Mammalia"
"Arctonyx.collaris","Metazoa","Chordata","Mammalia"
"Monopterus.albus","Metazoa","Chordata","Actinopteri"
"Andrias.davidianus","Metazoa","Chordata","Amphibia"
"Marmota.himalayana","Metazoa","Chordata","Mammalia"
"Blomia.tropicalis","Metazoa","Arthropoda","Arachnida"
"Hystrix.brachyura","Metazoa","Chordata","Mammalia"
"Ptyas.dhumnades","Metazoa","Chordata","Lepidosauria"
"Penaeus.vannamei","Metazoa","Arthropoda","Malacostraca"
"Calliphora.chinghaiensis","Metazoa","Arthropoda","Insecta"
"Ctenocephalides.felis","Metazoa","Arthropoda","Insecta"
"Chlorocebus.sabaeus","Metazoa","Chordata","Mammalia"
"Macrobrachium.nipponense","Metazoa","Arthropoda","Malacostraca"
"Silurus.meridionalis","Metazoa","Chordata","Actinopteri"
"Accipiter.gularis","Metazoa","Chordata","Aves"
"Scophthalmus.maximus","Metazoa","Chordata","Actinopteri"
"Tyrophagus.putrescentiae","Metazoa","Arthropoda","Arachnida"
"Uranoscopus.tosae","Metazoa","Chordata","Actinopteri"
"Myocastor.coypus","Metazoa","Chordata","Mammalia"
"Portunus.trituberculatus","Metazoa","Arthropoda","Malacostraca"
