Sample_Name	NC_020645.1	NC_006853.1	NC_006295.1	NC_002008.4	KR866125.1	NC_008066.1	NC_001640.1	KX964606.1	NC_001700.1	NC_005033.1	NC_012920.1	KR816507.1	NC_069637.1	NC_025316.1	NC_018367.1	MN400429.1	NC_004069.1	NC_020637.1	NC_035866.1	NC_013700.1	NC_001913.1	NC_036369.1	NC_026063.1	NC_029403.1	NC_012389.1	NC_011638.1	NC_014861.1	NC_021478.1	NC_026124.1	NC_039104.1	NC_012095.1	NC_026529.1	NC_008434.1
SRR23971410	1	0	0	23	0	0	0	0	0	0	1	1	0	13	0	0	12	0	0	1809	0	4	0	4	0	0	0	65	0	1	11	2	0
SRR23971411	1	0	0	15	1	0	0	1	2	0	114	0	0	2	0	0	9	0	0	9	20	0	12	0	0	4	0	4	0	0	16	0	0
SRR23971412	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	3	1	0	1	0	0	0	0	16	0	0	542	0	0
SRR23971413	3	0	0	3	3	0	0	0	0	0	133	0	0	3	0	0	2	0	0	6	9	0	2	0	0	7	0	13	0	0	246	1	0
SRR23971414	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	4	0	2	4	0	0
SRR23971415	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
SRR23971416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971417	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	2	0	0	2	0	0	1	0	4	0	0	5	0	1
SRR23971418	9	3	0	12	0	0	0	0	1	0	53	4	0	13	0	0	1	1	0	111	50	1	3	0	0	2251	1	11	0	0	42	0	5
SRR23971419	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971420	0	1	0	6	0	0	0	0	9	0	286	0	0	3	0	0	2	0	0	12	3	0	4	0	0	9	0	10	0	0	4	0	4
SRR23971421	0	2	0	19	0	0	0	0	0	0	41	0	0	0	0	0	6	0	0	18	10	0	2	2	0	8	0	15	0	1	64	0	0
SRR23971422	1	0	0	41	0	0	0	0	0	0	7	1	0	63	2	1	1	0	0	150	962	0	0	1	0	1	2	1068	12	10	3	0	0
SRR23971423	5	3	0	182	2	0	5	11	2	1	28	1	0	4	7	0	3	0	0	59	97	0	1	2	0	1	0	61	1	0	5	0	0
SRR23971424	1	1	0	495	44	0	8	107	28	1	55	2	0	7	82	0	3	0	0	978	159	2	65	3	0	6	0	2837	13	30	15	0	0
SRR23971425	0	2	2	948	6	0	0	50	0	2	12	4	0	1	8	1	14	0	0	259	491	0	11	0	0	35	0	83	0	2	8	1	0
SRR23971426	0	0	0	131	0	0	0	18	0	0	7	16	0	21	0	0	92	0	0	7	49	0	1	0	0	0	0	91	0	0	0	0	0
SRR23971427	51	7	3	65	82	0	0	2746	2	17	47	0	0	13	0	0	0	37	0	4	15	0	1042	0	0	79	1	7	0	0	6	0	0
SRR23971428	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
SRR23971429	0	0	0	83	0	0	0	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3
SRR23971430	0	28	0	2333	0	0	0	41	0	0	1601	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971431	0	0	0	0	0	0	0	0	31	0	91	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971432	0	0	0	0	0	0	0	0	16	0	36	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971433	0	0	0	3	0	0	0	0	19	0	2	0	0	0	0	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971434	0	3	0	0	1	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971435	0	59	0	0	0	0	0	0	15	0	94	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0
SRR23971436	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971438	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971439	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971443	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971444	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0
SRR23971445	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	46	0	0	59	0	0
SRR23971446	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0
SRR23971447	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	3	0	0
SRR23971448	0	8	0	1	1	0	0	211	3	1	413	0	0	245	0	0	0	3	0	4	0	0	21	0	0	2	0	0	0	0	1	0	0
SRR23971449	63	2	0	782	0	0	5	229	2	0	15	45	2	17	418	2	82	0	1	11443	207	19	12	341	0	4	0	371	2	1	6	3	2
SRR23971450	2	0	0	126	1	0	1	44	0	0	35	17	2	13	114	0	6	0	0	105	132	0	3	0	1	154	1	79	1	0	15	0	0
SRR23971451	0	0	0	205	5	0	0	58	1	0	135	8	0	2	1	0	23	0	0	22	202	0	0	0	0	0	0	192	0	2	7	0	1
SRR23971452	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
SRR23971453	0	0	0	1925	0	0	0	58	0	0	18	1	0	1	0	0	46	0	0	20	12	0	0	0	0	1	0	20	0	0	2	0	0
SRR23971454	1	0	0	58	0	0	0	3	0	0	8	4041	87	1	0	2	0	0	0	15	29	0	0	5	0	15	0	17	0	0	4	0	0
SRR23971455	0	0	0	3	0	0	0	0	14	0	34	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SRR23971456	0	1	0	1	0	0	0	36	1	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	41	0	0	0	0	1	0	0
SRR23971457	0	5	0	0	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971458	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
SRR23971459	0	0	0	3	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
SRR23971460	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971461	1	9	0	27	6	0	1	918	29	5	168	0	0	7	0	0	0	32	0	15	31	0	64	1	0	628	0	3	0	0	37	0	1
SRR23971462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971463	7	0	0	18	2	0	0	5	5	0	8	0	0	8	0	0	10	0	0	24	36	0	4	0	0	13	0	33	0	0	7	0	0
SRR23971464	25	0	0	48	3	0	0	121	0	2	22	2	0	128	0	0	88	3	3	169	168	0	7	4	0	443	0	49	0	0	10	2	15
SRR23971465	2	11	0	28	11	0	0	2	0	0	14	0	0	31	0	0	15	0	0	92	11	0	0	2	0	2	0	35	0	0	0	0	0
SRR23971466	1	0	0	3	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	8	13	0	1	0	0	244	0	18	0	0	1	0	0
SRR23971467	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	11	0	0	0	0	16	0	0
SRR23971468	22	2	0	40	0	0	1	24	0	1	72	5	0	32	0	2	7	4	0	177	208	0	8	8	0	56	0	280	1	0	27	0	1
SRR23971469	0	2	0	23	1	0	0	1192	2	2	1704	0	0	24	0	1	0	9	0	0	1	0	12	0	1	17	0	0	0	0	3	0	0
SRR23971470	0	0	0	0	0	0	0	30	0	0	38	0	0	8	0	0	0	0	0	0	0	0	1	0	0	13	0	0	0	0	1	0	0
SRR23971471	0	0	0	1	5	0	0	72	0	0	17	0	0	89	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
SRR23971472	0	0	0	0	0	0	0	10	0	0	109	0	0	4	0	0	0	4	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0
SRR23971473	0	0	0	0	0	3479	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971474	0	0	0	16	0	0	0	306	0	0	74	0	0	51	0	0	0	3	0	1	0	0	1	0	2	0	0	2	0	0	4	0	0
SRR23971475	0	1	0	0	0	0	0	14	0	0	16	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SRR23971476	0	2	0	7	0	0	0	566	2	1	74	0	0	54	0	0	0	2	0	2	2	0	5	0	0	510	0	0	0	0	8	0	0
SRR23971477	0	0	0	0	0	0	0	97	1	0	11	0	0	50	0	0	0	1	0	1	9	0	10	0	0	0	0	0	0	0	2	0	1
SRR23971478	0	2	0	2	2	0	0	1636	3	10	98	0	0	3	0	0	0	3	0	4	8	0	10	0	0	14	0	4	0	0	2	0	0
SRR23971479	4	0	0	19	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	27	28	0	0	3	0	13	0	149	0	2	2	0	0
SRR23971480	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	11	0	0	0	0	1	0	0
SRR23971481	4	1	0	9	0	0	0	7	0	0	24	0	0	2	0	0	0	4	0	138	11	0	0	0	0	305	0	44	0	2	2	0	0
SRR23971482	0	0	0	28	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	243	5	2	0	1	0	2	0	23	1	0	18	0	0
SRR23971483	5	5	0	11	0	0	0	459	0	1	27	0	0	69	1	0	1	0	0	186	1	0	0	0	0	0	0	153	1	3	28	0	0
SRR23971484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971485	9	0	0	334	0	0	0	3	0	0	12	0	0	253	1	0	15	0	0	225	26	1	0	21	0	0	0	639	0	5	781	0	2
SRR23971486	2	0	0	12	0	0	0	0	0	0	16	0	0	2	0	0	1	0	0	218	25	2	1	1	0	8	0	53	0	1	3	0	0
SRR23971487	5	0	0	39	0	0	0	0	0	0	4	0	0	0	0	2	2	0	4	3870	4	7	0	0	0	0	0	250	5	2	0	5	4
SRR23971488	31	0	0	0	0	0	0	1	0	0	4	0	0	16	0	0	140	0	0	16	3	0	21	1	0	0	0	205	0	2	290	0	0
SRR23971489	0	0	0	2	2	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	53	0	0	1	0	0
SRR23971490	0	1	0	5	1	0	0	104	1	1	27	0	0	43	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0
SRR23971491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971492	0	0	0	0	1	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	172	0	0
SRR23971493	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971494	0	18	1	8	6	0	0	2	0	0	67	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	1	0	0	33	0	0
SRR23971495	0	5	0	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
