Sequencing run	Lab code	Sample type	Sample category	Stall ID	NC_012920.1 Homo sapiens	NC_013700.1 Nyctereutes procyonoides	NC_002008.4 Canis lupus	NC_001913.1 Oryctolagus cuniculus	NC_012095.1 Sus scrofa	NC_026063.1 Ovis orientalis	NC_021478.1 Rhizomys pruinosus	KX964606.1 Erinaceus amurensis	NC_006853.1 Bos taurus	NC_011638.1 Rattus tanezumi	NC_001700.1 Felis catus	NC_025316.1 Lepus sinensis	KR866125.1 Capra hircus	NC_004069.1 Muntiacus reevesi	NC_020645.1 Arctonyx collaris	NC_018367.1 Marmota himalayana	KR816507.1 Hystrix brachyura	NC_008066.1 Chlorocebus sabaeus	NC_035866.1 Myocastor coypus	NC_008434.1 Vulpes vulpes	NC_026529.1 Vulpes lagopus	NC_029403.1 Paguma larvata	MN400429.1 Melogale moschata	NC_020637.1 Mustela sibirica	NC_001640.1 Equus caballus	NC_006295.1 Bubalus carabanensis	NC_069637.1 Hystrix indica	NC_005033.1 Hemiechinus auritus	NC_039104.1 Rhizomys sumatrensis	NC_014861.1 Rattus tunneyi	NC_012389.1 Rattus exulans	NC_026124.1 Rhizomys sinensis	NC_036369.1 Otocyon megalotis
SRR23971410	HJ200050-20200112-1	market_metagenome	market_stall_wildlife	West|8|36-38	0	2262	32	0	12	0	80	0	0	0	0	13	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971411	HJ200051-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	135	10	18	20	19	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971412	HJ200052-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	633	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971413	HJ200053-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	165	0	0	0	276	0	14	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971414	HJ200054-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971415	HJ200055-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971416	F54	sars2_amplicon	market_west_Jan1	West|2|14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971417	HJ200056-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971418	HJ200057-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	65	126	14	58	45	0	0	0	0	2507	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971419	HJ200058-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971420	HJ200059-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	485	18	0	0	0	0	11	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971421	HJ200060-20200112-1	market_metagenome	market_stall_wildlife	West|8|37	45	18	22	0	73	0	17	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971422	HJ200062-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	0	177	57	1184	0	0	1270	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	16	0
SRR23971423	HJ200063-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	33	74	245	116	0	0	72	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971424	HJ200065-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	73	1244	583	179	16	73	3346	139	0	0	32	0	49	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0
SRR23971425	HJ200066-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	14	294	1073	585	0	0	105	58	0	48	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971426	HJ200067-20200112-1	market_metagenome	market_629_Jan12	West|6|29-31-33	0	0	151	52	0	0	105	23	0	0	0	23	0	100	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971427	W-8-25-D2	market_metagenome	single_end_duplicate	West|8|25	57	0	70	17	0	1187	0	3258	0	88	0	15	91	0	56	0	0	0	0	0	0	0	0	42	0	0	0	29	0	0	0	0	0
SRR23971428	10-31-In2	market_metagenome	market_west_late	West|10|31	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971429	10-31-abv2	market_metagenome	market_west_late	West|10|31	326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971430	06-29-abv1	market_metagenome	market_629_late	West|6|29	1756	0	2334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971431	1-27-11	market_metagenome	market_west_drain	West|3|13	97	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
SRR23971432	1-27-12	market_metagenome	market_west_drain	West|1|2	42	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
SRR23971433	1-27-28	market_metagenome	market_west_drain	West|7|34	0	0	5	12	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971434	1-27-52	market_metagenome	market_west_drain	West|15|22	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR23971435	1-29-19	east_drain	market_east_drain	East|9|35	107	0	0	0	269	0	0	0	63	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
