Virus_full_name,Virus_short,Virus_shorter
"AC_000013.1 Fowl adenovirus D, complete genome",Fowl adenovirus D,Fowl adenovirus D
"NC_001344.1 Duck hepatitis B virus, complete genome",Duck hepatitis B virus,Duck hepatitis B virus
"NC_001427.1 Chicken anemia virus, complete genome",Chicken anemia virus,Chicken anemia virus
"NC_002188.1 Fowlpox virus, complete genome",Fowlpox virus,Fowlpox virus
"NC_002229.3 Gallid herpesvirus 2, complete genome",Gallid herpesvirus 2,Gallid herpesvirus 2
"NC_002361.1 Columbid circovirus (CoCV), complete genome",Columbid circovirus,Columbid circovirus
"NC_002577.1 Gallid herpesvirus 3, complete genome",Gallid herpesvirus 3,Gallid herpesvirus 3
"NC_004800.1 Goose hemorrhagic polyomavirus, complete genome",Goose hemorrhagic polyomavirus,Goose hemorrhagic polyomavirus
"NC_014969.1 Fowl adenovirus E, complete genome",Fowl adenovirus E,Fowl adenovirus E
"NC_015396.1 Avian gyrovirus 2, complete genome",Avian gyrovirus 2,Avian gyrovirus 2
"NC_024446.1 Penguinpox virus isolate PSan92, complete genome",Penguinpox virus isolate PSan92,Penguinpox virus
"NC_028238.1 Turkeypox virus strain TKPV-HU1124/2011, complete genome",Turkeypox virus strain TKPV-HU1124/2011,Turkeypox virus
"NC_030133.1 Duck faeces associated circular DNA virus 2 isolate 4_Fec60467_duck, complete sequence",Duck faeces associated circular DNA virus 2 isolate 4,Duck faeces associated circular DNA virus 2
"NC_031503.1 Pigeon adenovirus 2 isolate YPDS-Y-V1.A19.11-2013, complete genome",Pigeon adenovirus 2 isolate YPDS-Y-V1.A19.11-2013,Pigeon adenovirus 2
"NC_034266.1 Columbid alphaherpesvirus 1 strain HLJ, complete genome",Columbid alphaherpesvirus 1 strain HLJ,Columbid alphaherpesvirus 1
"NC_043404.1 Avian myeloblastosis virus RNA-dependent DNA polymerase gene, partial cds; transforming protein gene, complete cds; and long terminal repeat, complete sequence",Avian myeloblastosis virus,Avian myeloblastosis virus
"NC_001866.1 Avian myelocytomatosis virus, complete genome",Avian myelocytomatosis virus,Avian myelocytomatosis virus
"NC_039194.1 Avian paramyxovirus 6 strain APMV-6/Goose/FarEast/4440/2003, complete genome",Avian paramyxovirus 6 strain APMV-6/Goose/FarEast/4440/2003,Avian paramyxovirus 6
"NC_003225.3 White spot syndrome virus strain CN01, complete genome",White spot syndrome virus strain CN01,White spot syndrome virus
"NC_055165.1 Shrimp hemocyte iridescent virus isolate 20141215, complete genome",Shrimp hemocyte iridescent virus isolate 20141215,Shrimp hemocyte iridescent virus
"NC_014793.1 Mud crab dicistrovirus, complete genome",Mud crab dicistrovirus,Mud crab dicistrovirus
"NC_031275.1 Wenzhou Crab Virus 1 strain RBX2 nucleocapsid (N), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds",Wenzhou Crab Virus 1 strain RBX2,Wenzhou Crab Virus 1
"NC_032129.1 Beihai mollusks virus 1 strain WZSLuoI86140 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",Beihai mollusks virus 1 strain WZSLuoI86140,Beihai mollusks virus 1
"NC_032481.1 Beihai mollusks virus 2 strain WZSLuoI86113 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",Beihai mollusks virus 2 strain WZSLuoI86113,Beihai mollusks virus 2
"NC_032811.1 Hubei unio douglasiae virus 2 strain WHBL72658 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds",Hubei unio douglasiae virus 2 strain WHBL72658,Hubei unio douglasiae virus 2
"NC_032852.1 Wenzhou shrimp virus 8 strain shrimp14543 hypothetical protein gene, complete cds",Wenzhou shrimp virus 8 strain shrimp14543,Wenzhou shrimp virus 8
"NC_032890.1 Wenzhou channeled applesnail virus 3 strain BHBei77067 hypothetical protein gene, complete cds",Wenzhou channeled applesnail virus 3 strain BHBei77067,Wenzhou channeled applesnail virus 3
"NC_033156.1 Wenzhou gastropodes virus 1 strain WZSLuoI86017 hypothetical protein 1 and hypothetical protein 2 genes, complete cds",Wenzhou gastropodes virus 1 strain WZSLuoI86017,Wenzhou gastropodes virus 1
"NC_033172.1 Wenzhou gastropodes virus 2 strain WZSLuoI86086 hypothetical protein gene, complete cds",Wenzhou gastropodes virus 2 strain WZSLuoI86086,Wenzhou gastropodes virus 2
"NC_033291.1 Wenling crustacean virus 14 strain WLJQ104130 RNA-dependent RNA polymerase gene, complete cds",Wenling crustacean virus 14 strain WLJQ104130,Wenling crustacean virus 14
"NC_055756.1 CrAssphage sp. isolate ctcc615, complete genome",CrAssphage sp. isolate ctcc615,CrAssphage ctcc615
"NC_055760.1 CrAssphage sp. isolate ctbg_1, complete genome",CrAssphage sp. isolate ctbg_1,CrAssphage sp. isolate ctbg_1
"NC_055868.1 CrAssphage cr50_1, complete genome",CrAssphage cr50_1,CrAssphage cr50_1
"NC_055870.1 CrAssphage cr107_1, complete genome",CrAssphage cr107_1,CrAssphage cr107_1
"NC_055871.1 CrAssphage cr106_1, complete genome",CrAssphage cr106_1,CrAssphage cr106_1
"NC_055872.1 CrAssphage cr118_1, complete genome",CrAssphage cr118_1,CrAssphage cr118_1
"NC_055873.1 CrAssphage cr1_1, complete genome",CrAssphage cr1_1,CrAssphage cr1_1
"NC_055874.1 CrAssphage cr3_1, complete genome",CrAssphage cr3_1,CrAssphage cr3_1
"NC_055875.1 CrAssphage cr10_1, complete genome",CrAssphage cr10_1,CrAssphage cr10_1
"NC_055876.1 CrAssphage cr11_1, complete genome",CrAssphage cr11_1,CrAssphage cr11_1
"NC_055877.1 CrAssphage cr8_1, complete genome",CrAssphage cr8_1,CrAssphage cr8_1
"NC_055878.1 CrAssphage cr108_1, complete genome",CrAssphage cr108_1,CrAssphage cr108_1
"NC_055879.1 CrAssphage cr110_1, complete genome",CrAssphage cr110_1,CrAssphage cr110_1
"NC_055880.1 CrAssphage cr111_1, complete genome",CrAssphage cr111_1,CrAssphage cr111_1
