Sequencing Run	Viral genome	Viral name	Virus genome length	Paired read count	Covered bases
SRR23971512	NC_045512.2	Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan-Hu-1,_complete_genome	29903	21	2350
SRR23971512	NC_031275.1	Wenzhou_Crab_Virus_1_strain_RBX2_nucleocapsid_(N),_glycoprotein_(G),_and_RNA-dependent_RNA_polymerase_(L)_genes,_complete_cds	9591	2	186
SRR23971512	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	1	93
SRR23971512	NC_001539.1	Canine_parvovirus,_complete_genome	5323	1	93
SRR23971512	NC_003027.1	Lumpy_skin_disease_virus_NI-2490,_complete_genome	150773	1	111
SRR23971512	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	66	4117
SRR23971512	NC_033172.1	Wenzhou_gastropodes_virus_2_strain_WZSLuoI86086_hypothetical_protein_gene,_complete_cds	8926	20	1438
SRR23971512	NC_001344.1	Duck_hepatitis_B_virus,_complete_genome	3027	1	93
SRR23971512	NC_032129.1	Beihai_mollusks_virus_1_strain_WZSLuoI86140_hypothetical_protein_1_and_hypothetical_protein_2_genes,_complete_cds	8805	23	2939
SRR23971512	NC_033156.1	Wenzhou_gastropodes_virus_1_strain_WZSLuoI86017_hypothetical_protein_1_and_hypothetical_protein_2_genes,_complete_cds	9309	4	389
SRR23971563	NC_040594.1	Picalivirus_A_isolate_PicaV-A,_complete_genome	8966	91	1517
SRR23971563	NC_001457.1	Human_papillomavirus_type_4,_complete_genome	7353	11	419
SRR23971563	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	1736	5696
SRR23971563	NC_022249.1	Feline_astrovirus_2_strain_1637F,_complete_genome	6795	16	372
SRR23971563	NC_032730.1	Lucheng_Rn_rat_coronavirus_isolate_Lucheng-19,_complete_genome	28763	2	93
SRR23971424	NC_034971.1	Canine_kobuvirus_isolate_SMCD-59,_complete_genome	8216	10	430
SRR23971424	OM451123.1	MAG:_Canine_coronavirus_isolate_HeB-G1,_complete_genome	29340	1	43
SRR23971424	NC_004800.1	Goose_hemorrhagic_polyomavirus,_complete_genome	5256	1	43
SRR23971424	NC_040533.1	Lupine_bocavirus_isolate_South_Douro,_complete_genome	5228	2	86
SRR23971424	NC_011765.1	European_hedgehog_papillomavirus,_complete_genome	8256	3	84
SRR23971424	NC_025825.1	Raccoon_dog_amdovirus_isolate_HS-R_NS1,_NS2,_NS3,_VP1,_and_VP2_genes,_complete_cds	4928	3	129
SRR23971424	NC_002229.3	Gallid_herpesvirus_2,_complete_genome	177874	3	129
SRR23971424	NC_031503.1	Pigeon_adenovirus_2_isolate_YPDS-Y-V1.A19.11-2013,_complete_genome	41981	25	894
SRR23971424	OM451182.1	MAG:_Canine_kobuvirus_isolate_JX-MO1_polyprotein_gene,_complete_cds	8315	6	258
SRR23971424	OM451141.1	MAG:_Hedgehog_bocavirus_isolate_HeN-F1_nonstructural_protein_1,_NP1,_and_structural_protein_3_genes,_complete_cds	5373	1	43
SRR23971424	NC_055121.1	Bamboo_rat_circovirus_isolate_FJ01,_complete_genome	2112	57	1088
SRR23971424	NC_005889.1	Bovine_adeno-associated_virus,_complete_genome	4693	1	43
SRR23971424	NC_014969.1	Fowl_adenovirus_E,_complete_genome	44055	2	86
SRR23971424	NC_001457.1	Human_papillomavirus_type_4,_complete_genome	7353	1	43
SRR23971424	NC_020499.1	Canine_bocavirus_1_isolate_Con-161,_complete_genome	5413	1	43
SRR23971424	NC_001618.1	UR2_sarcoma_virus,_complete_genome	3166	1	43
SRR23971424	NC_043404.1	Avian_myeloblastosis_virus_RNA-dependent_DNA_polymerase_gene,_partial_cds;_transforming_protein_gene,_complete_cds;_and_long_terminal_repeat,_complete_sequence	1928	2	86
SRR23971424	NC_021472.1	Felis_catus_papillomavirus-3,_complete_genome	7583	1	43
SRR23971424	OM451185.1	MAG:_Marmot_kobuvirus_isolate_JS-TNA1_polyprotein_gene,_complete_cds	8193	18	774
SRR23971424	NC_001539.1	Canine_parvovirus,_complete_genome	5323	9536	4396
SRR23971424	NC_002361.1	Columbid_circovirus_(CoCV),_complete_genome	2037	8	287
SRR23971424	NC_003630.1	Pepper_mild_mottle_virus,_complete_genome	6357	2	86
SRR23971424	OQ297694.1	MAG:_Bamboo_rat_coronavirus_isolate_GX/GX19-89/2019,_complete_genome	31168	578	13278
SRR23971424	NC_017083.1	Rabbit_coronavirus_HKU14,_complete_genome	31100	4	172
