Sequencing Run	Species	Bases coverage	Breadth of coverage	SNPs from reference	ANI to reference (%)	Sample Lab code	Stall
SRR23971536	Nyctereutes_procyonoides	9911	0.5930114282295219	33	0.3329633740288568	HJ200017-20200112-1	West|9|38
SRR23971449	Marmota_himalayana	11035	0.6711062458188894	18	0.1631173538740371	Q61	West|6|29-31-33
SRR23971542	Nyctereutes_procyonoides	15516	0.9283791060850834	31	0.1997937612786801	HJ200023-20200112-1	West|9|35-37
SRR23971523	Marmota_himalayana	15866	0.9649090798516086	31	0.1953863607714609	HJ200005-20200112-1	West|9|34-36
SRR23971526	Nyctereutes_procyonoides	11303	0.6762998863160414	28	0.2477218437582942	HJ200008-20200112-1	West|9|34-36
SRR23971530	Rhizomys_pruinosus	10657	0.6429562594268476	58	0.5442432204185043	HJ200012-20200112-1	West|9|38
SRR23971449	Nyctereutes_procyonoides	16209	0.9698438341410878	30	0.1850823616509346	Q61	West|6|29-31-33
SRR23971469	Erinaceus_amurensis	11385	0.6720382503984417	212	1.8620992534036012	HJ200031-20200112-1	West|8|25
SRR23971524	Nyctereutes_procyonoides	15504	0.9276611021360618	52	0.3353973168214654	HJ200006-20200112-1	West|9|34-36
SRR23971410	Nyctereutes_procyonoides	15760	0.9429785197151918	56	0.3553299492385787	HJ200050-20200112-1	West|8|36-38
SRR23971476	Erinaceus_amurensis	9207	0.5434744111917833	171	1.857282502443793	HJ200038-20200112-1	West|8|25
SRR23971530	Nyctereutes_procyonoides	15918	0.9524322383773112	32	0.201030280185953	HJ200012-20200112-1	West|9|38
SRR23971485	Rhizomys_pruinosus	13112	0.7910708898944193	73	0.5567419158023185	HJ200046-20200112-1	West|8|36-38
SRR23971424	Rhizomys_pruinosus	15875	0.9577677224736048	103	0.6488188976377953	HJ200065-20200112-1	West|6|29-31-33
SRR23971520	Nyctereutes_procyonoides	12012	0.7187219529707414	28	0.2331002331002331	HJ200003-20200112-1	West|9|34-36
SRR23971454	Hystrix_brachyura	15726	0.9342363215113172	280	1.7804909067785832	Q70	West|6|29-31-33
SRR23971478	Erinaceus_amurensis	12291	0.7255179741455641	252	2.050280693190139	HJ200040-20200112-1	West|8|25
SRR23971483	Erinaceus_amurensis	8547	0.5045156720382504	148	1.7316017316017316	HJ200045-20200112-1	West|8|36-38
SRR23971424	Nyctereutes_procyonoides	14896	0.891282235385628	43	0.2886680988184747	HJ200065-20200112-1	West|6|29-31-33
SRR23971525	Nyctereutes_procyonoides	15011	0.8981631065637528	39	0.2598094730530944	HJ200007-20200112-1	West|9|34-36
SRR23971523	Nyctereutes_procyonoides	10211	0.6109615269550649	28	0.2742140828518264	HJ200005-20200112-1	West|9|34-36
SRR23971425	Nyctereutes_procyonoides	8628	0.5162448393466164	29	0.3361149745016226	HJ200066-20200112-1	West|6|29-31-33
SRR23971538	Nyctereutes_procyonoides	14698	0.8794351702267695	24	0.1632875221118519	HJ200019-20200112-1	West|9|38
SRR23971530	Arctonyx_collaris	10763	0.6530550330683818	39	0.3623525039487131	HJ200012-20200112-1	West|9|38
SRR23971529	Nyctereutes_procyonoides	15351	0.9185065517860348	33	0.214969708813758	HJ200011-20200112-1	West|9|38
SRR23971487	Nyctereutes_procyonoides	16048	0.9602106144917132	59	0.3676470588235294	HJ200048-20200112-1	West|8|36-38
SRR23971528	Nyctereutes_procyonoides	8576	0.5131334889008556	22	0.2565298507462686	HJ200010-20200112-1	West|9|34-36
SRR23971422	Rhizomys_pruinosus	14157	0.8541176470588235	106	0.7487462032916579	HJ200062-20200112-1	West|6|29-31-33
SRR23971468	Rhizomys_pruinosus	8535	0.5149321266968325	48	0.562390158172232	HJ200030-20200112-1	West|9|35-37
SRR23971532	Nyctereutes_procyonoides	8509	0.5091246335188176	19	0.2232929838994006	HJ200014-20200112-1	West|9|38
SRR23971482	Nyctereutes_procyonoides	8407	0.503021599952133	29	0.3449506363744499	HJ200044-20200112-1	West|8|36-38
SRR23971449	Paguma_larvata	10036	0.6005984440454818	24	0.2391390992427261	Q61	West|6|29-31-33
SRR23971449	Rhizomys_pruinosus	10659	0.6430769230769231	63	0.591049817056009	Q61	West|6|29-31-33
